# Average Spectral response curve for IRAC 8.0 micron array

#Detector Type
Photon counter

# Wave (microns)     Filter Response
6.151150        0.000080
6.158460        0.000123
6.165780        0.000175
6.173120        0.000186
6.180480        0.000159
6.187860        0.000141
6.195250        0.000105
6.202660        0.000055
6.210090        0.000086
6.217530        0.000131
6.225000        0.000165
6.232480        0.000237
6.239980        0.000331
6.247500        0.000420
6.255030        0.000513
6.262590        0.000972
6.270160        0.001730
6.277750        0.002730
6.285360        0.003932
6.292990        0.005442
6.300640        0.007284
6.308300        0.009579
6.315980        0.012481
6.323690        0.016076
6.331410        0.020434
6.339150        0.025797
6.346910        0.032326
6.354690        0.039725
6.362480        0.047614
6.370300        0.055992
6.378130        0.064908
6.385990        0.074658
6.393860        0.085730
6.401760        0.097884
6.409670        0.110380
6.417600        0.122467
6.425560        0.133446
6.433530        0.143818
6.441520        0.153868
6.449530        0.162957
6.457560        0.170684
6.465610        0.177107
6.473690        0.182955
6.481780        0.188927
6.489890        0.195387
6.498020        0.202576
6.506180        0.209096
6.514350        0.213985
6.522540        0.217589
6.530760        0.220687
6.539000        0.223833
6.547250        0.226886
6.555530        0.229331
6.563830        0.230834
6.572150        0.231381
6.580490        0.231301
6.588850        0.231047
6.597230        0.230709
6.605630        0.230324
6.614060        0.229690
6.622510        0.228639
6.630980        0.227580
6.639470        0.226401
6.647980        0.224904
6.656510        0.223558
6.665070        0.222938
6.673650        0.223366
6.682250        0.224879
6.690870        0.227139
6.699510        0.229414
6.708180        0.231219
6.716870        0.232560
6.725580        0.233601
6.734320        0.234656
6.743070        0.235925
6.751850        0.237394
6.760660        0.239087
6.769480        0.240622
6.778330        0.241684
6.787200        0.242549
6.796100        0.243358
6.805020        0.244234
6.813960        0.245448
6.822930        0.246818
6.831910        0.247904
6.840930        0.248692
6.849960        0.249314
6.859030        0.249563
6.868110        0.249396
6.877220        0.249087
6.886350        0.248667
6.895510        0.248166
6.904690        0.247926
6.913900        0.248164
6.923130        0.248718
6.932380        0.249207
6.941660        0.249268
6.950970        0.248775
6.960300        0.247865
6.969650        0.246638
6.979040        0.245095
6.988440        0.243638
6.997870        0.242759
7.007330        0.242350
7.016810        0.242166
7.026320        0.241984
7.035850        0.241568
7.045410        0.240917
7.055000        0.240176
7.064610        0.239539
7.074250        0.239150
7.083910        0.239242
7.093600        0.239930
7.103320        0.240818
7.113060        0.241347
7.122830        0.241416
7.132630        0.241414
7.142460        0.241361
7.152310        0.241175
7.162190        0.241345
7.172090        0.242045
7.182030        0.242964
7.191990        0.243875
7.201980        0.244615
7.211990        0.245129
7.222040        0.245593
7.232110        0.245970
7.242210        0.245828
7.252340        0.245255
7.262500        0.244598
7.272680        0.243755
7.282900        0.242993
7.293140        0.242774
7.303410        0.243092
7.313710        0.243971
7.324040        0.245428
7.334400        0.247297
7.344790        0.249546
7.355210        0.251775
7.365660        0.253573
7.376140        0.254932
7.386640        0.255716
7.397180        0.255994
7.407750        0.255806
7.418350        0.255431
7.428970        0.255518
7.439630        0.256257
7.450320        0.257881
7.461040        0.260477
7.471790        0.263602
7.482570        0.266949
7.493390        0.270223
7.504230        0.272981
7.515110        0.275060
7.526010        0.276733
7.536950        0.278264
7.547920        0.279816
7.558930        0.281240
7.569960        0.282254
7.581030        0.282893
7.592130        0.282934
7.603260        0.282435
7.614420        0.281999
7.625620        0.282044
7.636850        0.282791
7.648120        0.284119
7.659410        0.285572
7.670740        0.286650
7.682110        0.287185
7.693510        0.287222
7.704940        0.286869
7.716400        0.286493
7.727900        0.286447
7.739440        0.287115
7.751010        0.288304
7.762610        0.289526
7.774250        0.290850
7.785920        0.292175
7.797630        0.293398
7.809370        0.294628
7.821150        0.295962
7.832970        0.297553
7.844820        0.299031
7.856700        0.300106
7.868620        0.300706
7.880580        0.300537
7.892580        0.299823
7.904610        0.298954
7.916680        0.297843
7.928780        0.296734
7.940920        0.296118
7.953100        0.295970
7.965320        0.296289
7.977570        0.297052
7.989870        0.297938
8.002200        0.299034
8.014560        0.300410
8.026970        0.301663
8.039420        0.302677
8.051900        0.303703
8.064420        0.304952
8.076980        0.306355
8.089580        0.307596
8.102220        0.308531
8.114900        0.309131
8.127620        0.309354
8.140380        0.309332
8.153180        0.309243
8.166020        0.309323
8.178900        0.309769
