# Average Spectral response curve for IRAC 4.5 micron array

#Detector Type
Photon counter

# Wave (microns)     Filter Response
3.722490        0.001241
3.725160        0.001132
3.727840        0.001159
3.730520        0.001234
3.733210        0.001241
3.735900        0.001279
3.738590        0.001257
3.741290        0.001233
3.743990        0.001293
3.746690        0.001263
3.749400        0.001198
3.752120        0.001135
3.754830        0.001046
3.757550        0.000952
3.760280        0.000845
3.763010        0.000708
3.765740        0.000594
3.768480        0.000572
3.771220        0.000586
3.773960        0.000475
3.776710        0.000370
3.779460        0.000317
3.782220        0.000296
3.784980        0.000284
3.787750        0.000210
3.790510        0.000263
3.793290        0.000446
3.796060        0.000459
3.798840        0.000496
3.801630        0.000585
3.804420        0.000429
3.807210        0.000460
3.810010        0.000777
3.812810        0.000832
3.815620        0.000732
3.818430        0.000927
3.821240        0.001015
3.824060        0.000941
3.826880        0.001148
3.829710        0.001207
3.832540        0.001081
3.835370        0.001066
3.838210        0.000976
3.841050        0.001013
3.843900        0.001058
3.846750        0.001029
3.849610        0.001059
3.852470        0.000881
3.855330        0.000902
3.858200        0.000960
3.861070        0.000729
3.863950        0.000647
3.866830        0.000598
3.869720        0.000482
3.872610        0.000415
3.875500        0.000355
3.878400        0.000405
3.881300        0.000414
3.884210        0.000335
3.887120        0.000389
3.890040        0.000591
3.892960        0.000814
3.895890        0.001066
3.898810        0.001640
3.901750        0.002118
3.904690        0.002469
3.907630        0.003262
3.910580        0.004162
3.913530        0.004960
3.916480        0.005999
3.919440        0.007178
3.922410        0.008393
3.925380        0.010034
3.928350        0.012026
3.931330        0.013966
3.934310        0.016170
3.937300        0.018787
3.940290        0.021805
3.943290        0.025262
3.946290        0.029157
3.949290        0.033829
3.952300        0.039216
3.955320        0.045284
3.958340        0.052524
3.961360        0.060956
3.964390        0.070427
3.967420        0.081281
3.970460        0.093699
3.973500        0.108028
3.976550        0.124424
3.979600        0.142387
3.982660        0.162088
3.985720        0.183435
3.988790        0.205983
3.991860        0.229851
3.994930        0.253728
3.998010        0.277242
4.001100        0.299983
4.004190        0.320214
4.007280        0.338295
4.010380        0.353890
4.013490        0.366017
4.016590        0.374839
4.019710        0.379988
4.022830        0.383534
4.025950        0.385506
4.029080        0.384746
4.032210        0.382664
4.035350        0.380295
4.038490        0.378535
4.041640        0.374839
4.044790        0.370483
4.047950        0.366507
4.051110        0.361838
4.054280        0.357881
4.057450        0.354454
4.060630        0.350258
4.063810        0.345948
4.067000        0.341929
4.070190        0.338525
4.073390        0.335701
4.076590        0.332925
4.079800        0.330346
4.083010        0.328641
4.086230        0.327631
4.089450        0.326592
4.092680        0.326159
4.095910        0.326391
4.099150        0.327479
4.102390        0.330018
4.105640        0.332294
4.108890        0.334831
4.112150        0.337837
4.115420        0.341587
4.118680        0.348064
4.121960        0.354215
4.125240        0.358800
4.128520        0.365266
4.131810        0.372313
4.135110        0.379526
4.138410        0.387039
4.141710        0.394409
4.145020        0.402305
4.148340        0.411090
4.151660        0.420188
4.154990        0.429011
4.158320        0.436594
4.161660        0.442640
4.165000        0.448926
4.168350        0.455810
4.171700        0.461752
4.175060        0.467041
4.178420        0.471904
4.181790        0.476379
4.185170        0.480508
4.188550        0.484774
4.191930        0.489177
4.195330        0.491265
4.198720        0.492557
4.202130        0.495024
4.205530        0.496657
4.208950        0.497118
4.212370        0.497513
4.215790        0.497072
4.219220        0.497161
4.222660        0.496402
4.226100        0.494225
4.229550        0.492469
4.233000        0.490686
4.236460        0.488583
4.239920        0.487683
4.243390        0.485247
4.246870        0.481254
4.250350        0.478143
4.253830        0.475877
4.257330        0.473883
4.260820        0.471626
4.264330        0.469347
4.267840        0.468535
4.271350        0.467221
4.274870        0.465334
4.278400        0.465836
4.281930        0.466768
4.285470        0.466695
4.289020        0.467264
4.292570        0.468908
4.296130        0.472667
4.299690        0.475689
4.303260        0.478723
4.306830        0.482059
4.310410        0.484387
4.314000        0.487472
4.317590        0.491153
4.321190        0.493797
4.324790        0.496321
4.328400        0.499054
4.332020        0.502053
4.335640        0.505158
4.339270        0.507475
4.342900        0.509514
4.346540        0.511330
4.350190        0.513338
4.353840        0.515366
4.357500        0.516244
4.361160        0.516947
4.364830        0.520200
4.368510        0.523689
4.372190        0.524671
4.375880        0.526115
4.379580        0.528842
4.383280        0.530796
4.386990        0.532170
4.390710        0.534380
4.394430        0.537499
4.398150        0.539701
4.401890        0.541203
4.405630        0.542737
4.409370        0.544210
4.413130        0.546240
4.416890        0.547531
4.420650        0.547121
4.424420        0.547239
4.428200        0.547973
4.431990        0.547962
4.435780        0.548103
4.439570        0.548146
4.443380        0.546453
4.447190        0.546204
4.451010        0.546641
4.454830        0.544230
4.458660        0.541864
4.462500        0.541692
4.466340        0.541685
4.470190        0.539933
4.474050        0.537527
4.477910        0.536530
4.481780        0.534995
4.485660        0.532501
4.489540        0.531080
4.493430        0.529852
4.497330        0.526859
4.501240        0.523885
4.505150        0.522071
4.509060        0.519607
4.512990        0.517098
4.516920        0.516034
4.520860        0.514024
4.524800        0.511614
4.528750        0.510563
4.532710        0.508876
4.536680        0.507433
4.540650        0.507608
4.544630        0.507486
4.548620        0.505709
4.552610        0.504518
4.556610        0.504035
4.560620        0.503450
4.564630        0.503572
4.568650        0.503328
4.572680        0.501883
4.576720        0.500609
4.580760        0.499839
4.584810        0.498187
4.588870        0.495600
4.592930        0.494084
4.597010        0.493125
4.601090        0.491427
4.605170        0.489178
4.609270        0.486494
4.613370        0.484201
4.617470        0.481866
4.621590        0.478458
4.625710        0.475900
4.629840        0.473059
4.633980        0.470129
4.638120        0.470945
4.642280        0.472277
4.646440        0.473277
4.650600        0.475246
4.654780        0.476013
4.658960        0.477448
4.663150        0.480580
4.667350        0.483316
4.671550        0.485153
4.675760        0.486906
4.679980        0.489459
4.684210        0.491360
4.688450        0.492547
4.692690        0.494230
4.696940        0.495560
4.701200        0.496919
4.705470        0.498155
4.709740        0.498278
4.714020        0.497703
4.718310        0.496247
4.722610        0.494436
4.726910        0.493467
4.731230        0.491989
4.735550        0.488762
4.739870        0.485173
4.744210        0.483204
4.748560        0.480667
4.752910        0.476867
4.757270        0.473838
4.761640        0.470778
4.766010        0.467481
4.770400        0.465234
4.774790        0.462785
